# Found 2012 lines in ascl.php
ascl:1102.023 21cmFAST
ascl:1201.005 2LPTIC
ascl:1111.011 3DEX
ascl:1110.009 AAOGlimpse
ascl:1010.024 ADAPTSMOOTH
ascl:1109.002 ADIPLS
ascl:1203.001 AE
ascl:1212.009 Aegean
ascl:1102.009 AHF
ascl:9911.003 AIPS
ascl:1107.006 AIRES
ascl:1112.019 Aladin
ascl:1106.001 AlterBBN
ascl:1010.003 AMBER
ascl:1007.006 AMIGA
ascl:1107.007 AMUSE
ascl:1110.001 analytic_infall
ascl:9909.002 ANGSIZ
ascl:1209.009 ANNz
ascl:1103.011 AP3M
ascl:1208.017 APLpy
# ascl:1106.019 Application of Compressive Sampling to Radio Astr
ascl:1208.003 APT
# ascl:1007.005 Arcetri Spectral Code for Thin Plasmas</td><td>Th
ascl:1107.011 ARCHANGEL
ascl:1205.009 ARES
ascl:1204.016 ASCfit
ascl:1112.017 ASpec
ascl:1209.015 Aspects
ascl:1104.002 AstroBEAR
ascl:1010.013 AstroGK
ascl:1010.078 AstroMD
ascl:1203.012 Astrometrica
ascl:1208.001 Astrometry.net
ascl:1207.007 Astropysics
ascl:1010.023 AstroSim
ascl:1010.014 Athena
ascl:1110.015 atlant
ascl:1109.016 aXe
ascl:1208.010 BASE
# ascl:1209.001 Bayesian Blocks
ascl:1104.013 BEARCLAW
ascl:1206.005 bhint
ascl:9910.006 BHSKY
# ascl:1208.007 Big MACS
ascl:1011.008 Binsim
ascl:1208.002 BINSYN
ascl:1208.009 BLOBCAT
ascl:9909.005 BLOCK
ascl:1212.001 Bonsai
ascl:1210.030 BOOTTRAN
ascl:1108.019 BOREAS
ascl:1108.011 BPZ
ascl:9904.001 BSGMODEL
ascl:1204.003 BUDDA
# ascl:1211.005 C-m Emu
ascl:1102.013 Cactus
ascl:1210.010 CALCLENS
# ascl:1105.013 <span style="font-size
ascl:1102.026 CAMB
ascl:1106.017 CAOS
ascl:1107.013 CASA
ascl:1105.010 CASTRO
ascl:1206.008 Catena
ascl:1208.006 ccogs
ascl:1010.059 CESAM
ascl:1010.001 CFITSIO
ascl:1105.005 ChaNGa
ascl:9911.004 CHIANTI
ascl:1104.012 CHIWEI
ascl:1202.008 Chombo
ascl:1209.004 CHORIZOS
ascl:1111.004 CIGALE
ascl:1202.001 CISM_DX
ascl:1106.020 CLASS
ascl:1103.015 Cloudy_3D
ascl:9910.001 Cloudy
ascl:1107.014 Clumpfind
ascl:1201.012 CLUMPY
# ascl:1106.018 CMB B-modes from Faraday Rotation</td><td>This co
ascl:1106.023 CMBACT
ascl:1007.004 CMBEASY
ascl:9909.004 CMBFAST
ascl:1109.009 CMBquick
ascl:1112.011 CMBview
ascl:1109.020 CMFGEN
ascl:1101.005 CMHOG
ascl:1011.014 CO5BOLD
ascl:1202.012 CoCoNuT
# ascl:1210.011 Consistent Trees
ascl:9905.001 CONSKY
ascl:1210.013 ConvPhot
ascl:1112.012 CORA
ascl:1211.004 CORRFIT
ascl:1202.006 CORSIKA
# ascl:1010.040 Cosmic String Simulations</td><td>Complicated cos
ascl:1010.030 CosmicEmu
ascl:9910.004 COSMICS
# ascl:1110.024 CosmoMC SNLS
ascl:1106.025 CosmoMC
ascl:1110.019 CosmoNest
ascl:1212.006 CosmoPMC
ascl:1102.012 CPROPS
ascl:1101.008 CRASH
ascl:1111.002 CRBLASTER
ascl:1110.020 CROSS_CMBFAST
ascl:1202.007 CRUNCH3D
ascl:0104.002 CSENV
ascl:1208.018 CUBEP3M
ascl:1111.007 CUBISM
ascl:1109.013 CULSP
ascl:1011.006 DAME
ascl:1104.011 DAOPHOT
ascl:1011.002 DAOSPEC
ascl:1110.002 DarkSUSY
ascl:1207.006 dcr
ascl:0008.001 DDSCAT
ascl:1011.012 DEFROST
ascl:1112.015 Dexter
ascl:1103.001 Difmap
ascl:1102.024 DiFX2
ascl:1010.031 DimReduce
ascl:1102.021 DIRT
ascl:1209.011 DiskFit
ascl:1108.015 DISKSTRUCT
ascl:1010.029 DNEST
# ascl:1206.011 Double Eclipsing Binary Fitting</td><td>The param
ascl:1106.011 DRAGON
ascl:1011.009 DRAGON
ascl:1010.006 DSPSR
# ascl:1105.003 The DTFE public software
ascl:1201.011 Duchamp
# ascl:1104.014 A Correction to the Standard Galactic Reddening M
ascl:9911.001 DUSTY
ascl:1106.004 E3D
ascl:1011.013 EasyLTB
ascl:1010.052 EAZY
ascl:1203.007 EBTEL
ascl:1112.001 Eclipse
# ascl:1102.014 Einstein Toolkit for Relativistic Astrophysics</t
ascl:1106.024 ELMAG
ascl:1203.006 EMACSS
ascl:1201.004 emGain
# ascl:1010.018 Emu CMB
ascl:1109.012 EnBiD
ascl:1010.072 Enzo
ascl:1204.017 epsnoise
ascl:1204.011 EXCOP
ascl:1207.001 EXOFAST
ascl:1201.009 ExoFit
ascl:9906.002 EXTINCT
# ascl:1010.032 Extreme Deconvolution
ascl:1010.061 EyE
ascl:1210.004 EZ
ascl:1208.021 EzGal
ascl:1209.014 FAMIAS
ascl:1102.017 FARGO
# ascl:1010.010 Fast WMAP Likelihood Code and GSR PC Functions</t
ascl:1010.037 FastChi
ascl:9910.003 FASTELL
# ascl:1010.041 FASTLens &#40;FAst STatistics for weak Lensing&#4
ascl:1203.004 FERENGI
ascl:1208.011 Fewbody
ascl:1201.015 FFTW
ascl:1111.013 FIBRE-pac
ascl:1203.013 Figaro
ascl:1202.014 FISA
ascl:1010.070 Fisher.py
ascl:1201.007 Fisher4Cast
# ascl:1206.002 FITS Liberator
ascl:1111.014 FITSH
ascl:1107.003 FITSManager
ascl:1112.007 FLAGCAL
ascl:1010.082 FLASH
# ascl:1107.004 Flexible DM-NRG</td><td>This code combines the sp
ascl:1205.006 Flexion
ascl:1210.007 FLUKA
# ascl:1105.008 Flux Tube Model</td><td>This Fortran code compute
ascl:1011.019 FLY
ascl:1204.004 Fosite
ascl:1010.002 fpack
ascl:1211.002 FreeEOS
ascl:1010.043 FSPS
ascl:9912.002 FTOOLS
ascl:1112.002 Funtools
ascl:1205.005 Fv
# ascl:1010.015 Fyris Alpha
ascl:0003.001 GADGET-2
ascl:1108.005 Gaepsi
ascl:1109.011 GalactICS
ascl:1108.004 Galacticus
ascl:1203.002 GALAPAGOS
ascl:1104.005 GALAXEV
ascl:1101.007 Galaxia
# ascl:1010.033 GALEV Evolutionary Synthesis Models</td><td>GALEV
ascl:1104.010 GALFIT
ascl:1010.028 GALPROP
ascl:1110.007 GammaLib
ascl:1105.011 Ganalyzer
# ascl:1010.049 Gas-momentum-kinetic SZ cross-correlations</td><t
ascl:1210.020 GASGANO
ascl:1010.079 Geant4
ascl:1007.003 GEMINI
# ascl:1212.005 General complex polynomial root solver</td><td>Th
ascl:1011.015 Geokerr
ascl:1112.008 GGobi
ascl:1107.002 GIBIS
ascl:1112.005 GIDGET
ascl:1004.001 GIM2D
ascl:1109.018 GIPSY
ascl:1010.012 glafic
# ascl:1103.006 GLESP 2.0
ascl:1110.008 Glnemo2
# ascl:1011.010 Global Sky Model &#40;GSM&#41;
ascl:1210.003 GOSSIP
ascl:1210.001 GP2PCF
ascl:1010.022 GR1D
ascl:1010.080 GRACOS
ascl:1106.008 GRAFIC-2
ascl:1011.021 GRALE
ascl:1204.006 GRASIL
ascl:1102.003 GRAVLENS
ascl:1203.005 Gyoto
# ascl:1010.053 Halofitting codes for DGP and Degravitation</td><
ascl:1210.022 HAM2D
ascl:1201.014 Hammurabi
ascl:1209.005 HARM
ascl:1109.004 HAZEL
ascl:1107.018 HEALPix
ascl:1102.016 HERACLES
# ascl:1010.065 Higher Post Newtonian Gravity Calculations</td><t
ascl:1207.002 HiGPUs
ascl:1111.001 HIPE
ascl:1201.010 HNBody
ascl:1102.019 HOP
ascl:1103.010 Hydra
ascl:1207.004 Hyperion
ascl:1108.010 Hyperz
ascl:1011.023 HyRec
ascl:9905.002 ICOSAHEDRON
ascl:1010.034 iCosmo
# ascl:1011.001 Identikit 1
# ascl:1102.011 Identikit 2
ascl:1110.003 iGalFit
ascl:1101.003 IGMtransfer
ascl:1206.014 ImageHealth
ascl:1206.013 ImageJ
ascl:1108.001 IMCAT
ascl:1010.046 indexf
ascl:1210.023 inf_solv
ascl:1007.002 INFALL
ascl:1201.017 Inflation
ascl:1101.004 InterpMC
ascl:1209.013 IRACproc
ascl:9911.002 IRAF
ascl:1109.017 IRDR
ascl:1205.007 Iris
ascl:9909.003 ISIS
# ascl:1010.047 ISW and Weak Lensing Likelihood Code</td><td>ISW 
ascl:1209.002 JAGS
ascl:1207.013 JKTEBOP
ascl:1109.024 Jupiter
